Id Factura,Rama,Ciudad,Tipo cliente,Genero,Linea de producto,Precio por unidad,Cantidad,Impuesto %5,Total,Fecha,Hora,Pago,Costo de bienes,Porcentaje de magen bruto,Ingresos brutos,Clasificacion
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2020-02-01,10:39,Credit card,435.66,4.761904762,21.783,6.9
746-04-1077,B,Mandalay,Member,Female,Food and beverages,84.63,10,42.315,888.615,2020-02-02,11:36,Credit card,846.3,4.761904762,42.315,9
271-77-8740,C,Naypyitaw,Member,Female,Sports and travel,29.22,6,8.766,184.086,2020-02-03,11:40,Ewallet,175.32,4.761904762,8.766,5
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.027,2020-02-04,11:43,Cash,125.74,4.761904762,6.287,5
651-88-7328,A,Yangon,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,2020-02-05,13:55,Cash,591.66,4.761904762,29.583,7.7
416-17-9926,A,Yangon,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2020-02-06,14:42,Credit card,742.2,4.761904762,37.11,4.3
530-90-9855,A,Yangon,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2020-02-07,14:47,Cash,380.72,4.761904762,19.036,5.7
556-97-7101,C,Naypyitaw,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,2020-02-08,15:51,Cash,126.44,4.761904762,6.322,8.5
891-01-7034,B,Mandalay,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,2020-02-09,19:07,Cash,448.26,4.761904762,22.413,6.7
770-42-8960,B,Mandalay,Normal,Male,Food and beverages,21.12,8,8.448,177.408,2020-02-10,19:31,Cash,168.96,4.761904762,8.448,6.3
493-65-6248,C,Mandalay,Member,Female,Sports and travel,36.98,10,18.49,388.29,2020-02-11,19:48,Credit card,369.8,4.761904762,18.49,7
182-52-7000,A,Mandalay,Member,Female,Sports and travel,27.04,4,5.408,113.568,2020-02-12,20:26,Ewallet,108.16,4.761904762,5.408,6.9
870-76-1733,A,Mandalay,Member,Female,Food and beverages,14.23,5,3.5575,74.7075,2020-02-13,10:08,Credit card,71.15,4.761904762,3.5575,4.4
551-21-3069,C,Mandalay,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2020-02-14,11:27,Cash,207.63,4.761904762,10.3815,4.9
105-31-1824,A,Mandalay,Member,Female,Sports and travel,69.52,7,24.332,510.972,2020-02-15,15:10,Credit card,486.64,4.761904762,24.332,8.5
358-88-9262,C,Mandalay,Member,Female,Food and beverages,87.48,6,26.244,551.124,2020-02-16,18:43,Ewallet,524.88,4.761904762,26.244,5.1
443-82-0585,A,Mandalay,Member,Female,Health and beauty,77.68,4,15.536,326.256,2020-02-17,19:54,Cash,310.72,4.761904762,15.536,8.4
237-01-6122,C,Mandalay,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2020-02-18,20:31,Credit card,727.11,4.761904762,36.3555,9.5
811-03-8790,A,Mandalay,Normal,Female,Electronic accessories,45.48,10,22.74,477.54,2020-02-19,10:22,Credit card,454.8,4.761904762,22.74,4.8
470-31-3286,B,Mandalay,Normal,Male,Health and beauty,14.82,3,2.223,46.683,2020-02-20,11:30,Credit card,44.46,4.761904762,2.223,8.7
207-73-1363,B,Mandalay,Normal,Male,Health and beauty,69.51,2,6.951,145.971,2020-02-21,12:15,Ewallet,139.02,4.761904762,6.951,8.1
189-98-2939,C,Mandalay,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2020-02-22,13:22,Cash,706.95,4.761904762,35.3475,7.2
153-58-4872,C,Mandalay,Member,Female,Food and beverages,74.89,4,14.978,314.538,2020-02-23,15:32,Ewallet,299.56,4.761904762,14.978,4.2
453-63-6187,B,Mandalay,Normal,Male,Electronic accessories,27.5,3,4.125,86.625,2020-02-24,15:40,Ewallet,82.5,4.761904762,4.125,6.5
247-11-2470,A,Mandalay,Member,Female,Fashion accessories,22.32,4,4.464,93.744,2020-02-25,16:23,Credit card,89.28,4.761904762,4.464,4.4
220-28-1851,A,Mandalay,Normal,Male,Home and lifestyle,34.73,2,3.473,72.933,2020-02-26,18:14,Ewallet,69.46,4.761904762,3.473,9.7
339-96-8318,B,Mandalay,Member,Male,Fashion accessories,81.31,7,28.4585,597.6285,2020-02-27,19:49,Ewallet,569.17,4.761904762,28.4585,6.3
238-45-6950,B,Mandalay,Member,Male,Food and beverages,53.72,1,2.686,56.406,2020-02-28,20:03,Ewallet,53.72,4.761904762,2.686,6.4
244-08-0162,B,Mandalay,Normal,Female,Health and beauty,34.21,10,17.105,359.205,2020-02-29,13:00,Cash,342.1,4.761904762,17.105,5.1
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.7645,2020-03-01,13:40,Cash,365.49,4.761904762,18.2745,7
712-39-0363,A,Mandalay,Member,Male,Food and beverages,41.66,6,12.498,262.458,2020-03-02,15:24,Ewallet,249.96,4.761904762,12.498,5.6
345-68-9016,C,Naypyitaw,Member,Female,Sports and travel,31.67,8,12.668,266.028,2020-03-03,16:19,Credit card,253.36,4.761904762,12.668,5.6
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2020-03-04,16:57,Cash,42.47,4.761904762,2.1235,5.7
446-47-6729,C,Naypyitaw,Normal,Male,Fashion accessories,99.82,2,9.982,209.622,2020-03-05,18:09,Credit card,199.64,4.761904762,9.982,6.7
744-09-5786,B,Mandalay,Normal,Male,Electronic accessories,22.01,6,6.603,138.663,2020-03-06,18:50,Cash,132.06,4.761904762,6.603,7.6
670-71-7306,B,Mandalay,Normal,Male,Sports and travel,44.63,6,13.389,281.169,2020-03-07,20:08,Credit card,267.78,4.761904762,13.389,5.1
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2020-03-08,10:11,Cash,112.22,4.761904762,5.611,6.3
717-96-4189,C,Naypyitaw,Normal,Female,Electronic accessories,35.49,6,10.647,223.587,2020-03-09,12:40,Cash,212.94,4.761904762,10.647,4.1
376-56-3573,C,Naypyitaw,Normal,Female,Fashion accessories,95.42,4,19.084,400.764,2020-03-10,13:23,Ewallet,381.68,4.761904762,19.084,6.4
756-93-1854,C,Naypyitaw,Member,Female,Fashion accessories,83.35,2,8.335,175.035,2020-03-11,14:05,Credit card,166.7,4.761904762,8.335,9.5
845-51-0542,B,Mandalay,Member,Female,Food and beverages,46.55,9,20.9475,439.8975,2020-03-12,15:34,Ewallet,418.95,4.761904762,20.9475,6.4
420-18-8989,A,Yangon,Member,Female,Sports and travel,51.52,8,20.608,432.768,2020-03-13,15:47,Cash,412.16,4.761904762,20.608,9.6
390-17-5806,C,Naypyitaw,Member,Female,Food and beverages,38.42,1,1.921,40.341,2020-03-14,16:33,Cash,38.42,4.761904762,1.921,8.6
405-31-3305,A,Yangon,Member,Male,Fashion accessories,43.13,10,21.565,452.865,2020-03-15,18:31,Credit card,431.3,4.761904762,21.565,5.5
376-02-8238,B,Mandalay,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2020-03-16,18:42,Credit card,750.96,4.761904762,37.548,8.3
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2020-03-17,18:50,Cash,18.33,4.761904762,0.9165,4.3
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.011,2020-03-18,19:40,Cash,183.82,4.761904762,9.191,9.9
541-08-3113,C,Naypyitaw,Normal,Female,Food and beverages,65.97,8,26.388,554.148,2020-03-19,20:29,Cash,527.76,4.761904762,26.388,8.4
418-05-0656,B,Naypyitaw,Normal,Female,Fashion accessories,25.56,7,8.946,187.866,2020-03-20,20:42,Cash,178.92,4.761904762,8.946,7.1
642-32-2990,A,Naypyitaw,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2020-03-21,20:48,Ewallet,109.6,4.761904762,5.48,6
878-30-2331,C,Naypyitaw,Member,Female,Sports and travel,54.55,10,27.275,572.775,2020-03-22,11:22,Credit card,545.5,4.761904762,27.275,7.1
636-98-3364,B,Naypyitaw,Member,Female,Electronic accessories,26.26,3,3.939,82.719,2020-03-23,12:36,Ewallet,78.78,4.761904762,3.939,6.3
640-48-5028,B,Naypyitaw,Member,Female,Home and lifestyle,88.39,9,39.7755,835.2855,2020-03-24,12:40,Cash,795.51,4.761904762,39.7755,6.3
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2020-03-25,13:01,Credit card,81.06,4.761904762,4.053,7.1
576-31-4774,B,Naypyitaw,Normal,Female,Health and beauty,73.41,3,11.0115,231.2415,2020-03-26,13:10,Ewallet,220.23,4.761904762,11.0115,4
725-54-0677,C,Naypyitaw,Member,Male,Health and beauty,85.6,7,29.96,629.16,2020-03-27,13:50,Cash,599.2,4.761904762,29.96,5.3
565-67-6697,B,Naypyitaw,Member,Male,Home and lifestyle,27,9,12.15,255.15,2020-03-28,14:16,Cash,243,4.761904762,12.15,4.8
860-73-6466,A,Naypyitaw,Member,Female,Sports and travel,39.47,2,3.947,82.887,2020-03-29,16:16,Credit card,78.94,4.761904762,3.947,5
607-76-6216,C,Naypyitaw,Member,Female,Fashion accessories,92.49,5,23.1225,485.5725,2020-03-30,16:35,Credit card,462.45,4.761904762,23.1225,8.6
408-26-9866,C,Naypyitaw,Normal,Female,Sports and travel,73.98,7,25.893,543.753,2020-03-31,16:42,Ewallet,517.86,4.761904762,25.893,4.1
303-96-2227,B,Naypyitaw,Normal,Female,Home and lifestyle,97.38,10,48.69,1022.49,2020-04-01,17:16,Ewallet,973.8,4.761904762,48.69,4.4
549-59-1358,A,Naypyitaw,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2020-04-02,17:36,Ewallet,265.89,4.761904762,13.2945,6
720-72-2436,A,Naypyitaw,Normal,Male,Food and beverages,66.52,4,13.304,279.384,2020-04-03,18:14,Ewallet,266.08,4.761904762,13.304,6.9
172-42-8274,B,Naypyitaw,Normal,Female,Electronic accessories,38.27,2,3.827,80.367,2020-04-04,18:18,Credit card,76.54,4.761904762,3.827,5.8
346-84-3103,B,Naypyitaw,Member,Female,Electronic accessories,13.22,5,3.305,69.405,2020-04-05,19:26,Cash,66.1,4.761904762,3.305,4.3
825-94-5922,B,Naypyitaw,Normal,Male,Sports and travel,25.31,2,2.531,53.151,2020-04-06,19:26,Ewallet,50.62,4.761904762,2.531,7.2
817-69-8206,B,Naypyitaw,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2020-04-07,19:42,Credit card,897.57,4.761904762,44.8785,6.5
883-17-4236,C,Naypyitaw,Normal,Female,Sports and travel,14.39,2,1.439,30.219,2020-04-08,19:44,Credit card,28.78,4.761904762,1.439,7.2
343-87-0864,C,Naypyitaw,Member,Male,Health and beauty,75.88,1,3.794,79.674,2020-04-09,10:30,Credit card,75.88,4.761904762,3.794,7.1
249-42-3782,A,Naypyitaw,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2020-04-10,11:36,Ewallet,350.05,4.761904762,17.5025,5.5
749-24-1565,A,Naypyitaw,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2020-04-11,12:02,Ewallet,207.27,4.761904762,10.3635,7.9
875-31-8302,B,Naypyitaw,Normal,Male,Sports and travel,93.38,1,4.669,98.049,2020-04-12,13:07,Cash,93.38,4.761904762,4.669,9.6
422-29-8786,A,Naypyitaw,Normal,Female,Home and lifestyle,67.09,5,16.7725,352.2225,2020-04-13,16:47,Credit card,335.45,4.761904762,16.7725,9.1
552-44-5977,B,Naypyitaw,Member,Male,Health and beauty,62,8,24.8,520.8,2020-04-14,19:08,Credit card,496,4.761904762,24.8,6.2
687-15-1097,C,Naypyitaw,Member,Female,Health and beauty,21.12,2,2.112,44.352,2020-04-15,19:17,Cash,42.24,4.761904762,2.112,9.7
501-61-1753,B,Naypyitaw,Normal,Female,Home and lifestyle,63.15,6,18.945,397.845,2020-04-16,20:24,Ewallet,378.9,4.761904762,18.945,9.8
326-71-2155,C,Naypyitaw,Normal,Female,Sports and travel,73.95,4,14.79,310.59,2020-04-17,10:02,Cash,295.8,4.761904762,14.79,6.1
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2020-04-18,10:19,Cash,639.8,4.761904762,31.99,9.5
585-86-8361,A,Naypyitaw,Normal,Female,Food and beverages,27.28,5,6.82,143.22,2020-04-19,10:31,Credit card,136.4,4.761904762,6.82,8.6
443-59-0061,A,Naypyitaw,Member,Male,Food and beverages,67.45,10,33.725,708.225,2020-04-20,11:25,Ewallet,674.5,4.761904762,33.725,4.2
322-02-2271,B,Naypyitaw,Normal,Female,Sports and travel,42.97,3,6.4455,135.3555,2020-04-21,11:46,Cash,128.91,4.761904762,6.4455,9.3
347-34-2234,B,Naypyitaw,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2020-04-22,13:40,Ewallet,495.63,4.761904762,24.7815,10
190-59-3964,B,Naypyitaw,Member,Male,Food and beverages,47.16,5,11.79,247.59,2020-04-23,14:35,Credit card,235.8,4.761904762,11.79,6
430-60-3493,A,Naypyitaw,Member,Female,Home and lifestyle,94.88,7,33.208,697.368,2020-04-24,14:38,Cash,664.16,4.761904762,33.208,4.2
639-76-1242,C,Naypyitaw,Normal,Male,Food and beverages,40.52,5,10.13,212.73,2020-04-25,15:19,Cash,202.6,4.761904762,10.13,4.5
277-63-2961,B,Naypyitaw,Member,Male,Sports and travel,73.97,1,3.6985,77.6685,2020-04-26,15:53,Credit card,73.97,4.761904762,3.6985,5.4
566-71-1091,A,Naypyitaw,Normal,Male,Fashion accessories,77.02,5,19.255,404.355,2020-04-27,15:59,Cash,385.1,4.761904762,19.255,5.5
718-57-9773,C,Naypyitaw,Normal,Female,Sports and travel,49.33,10,24.665,517.965,2020-04-28,16:40,Credit card,493.3,4.761904762,24.665,9.4
742-04-5161,A,Naypyitaw,Member,Male,Home and lifestyle,72.78,10,36.39,764.19,2020-04-29,17:24,Cash,727.8,4.761904762,36.39,7.3
676-10-2200,B,Naypyitaw,Member,Male,Fashion accessories,53.78,1,2.689,56.469,2020-04-30,20:13,Ewallet,53.78,4.761904762,2.689,4.7
302-15-2162,C,Naypyitaw,Member,Male,Health and beauty,46.53,6,13.959,293.139,2020-05-01,10:54,Credit card,279.18,4.761904762,13.959,4.3
234-03-4040,B,Naypyitaw,Member,Female,Food and beverages,73.05,10,36.525,767.025,2020-05-02,12:25,Credit card,730.5,4.761904762,36.525,8.7
777-82-7220,B,Naypyitaw,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2020-05-03,13:01,Cash,240.96,4.761904762,12.048,7.7
631-41-3108,A,Naypyitaw,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2020-05-04,13:23,Credit card,324.31,4.761904762,16.2155,7.4
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,2020-05-05,13:42,Cash,259.6,4.761904762,12.98,7.5
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2020-05-06,14:30,Cash,819.7,4.761904762,40.985,9.2
568-88-3448,A,Naypyitaw,Normal,Male,Health and beauty,25,1,1.25,26.25,2020-05-07,15:09,Ewallet,25,4.761904762,1.25,5.5
175-54-2529,A,Naypyitaw,Member,Male,Food and beverages,22.17,8,8.868,186.228,2020-05-08,17:01,Credit card,177.36,4.761904762,8.868,9.6
468-99-7231,C,Naypyitaw,Normal,Female,Home and lifestyle,44.01,8,17.604,369.684,2020-05-09,17:36,Cash,352.08,4.761904762,17.604,8.8
